,company
0,sprintcare
1,Ask_Spectrum
2,VerizonSupport
3,ChipotleTweets
4,AskPlayStation
5,marksandspencer
6,MicrosoftHelps
7,ATVIAssist
8,AdobeCare
9,AmazonHelp
10,XboxSupport
11,AirbnbHelp
12,nationalrailenq
13,AirAsiaSupport
14,Morrisons
15,NikeSupport
16,AskAmex
17,McDonalds
18,YahooCare
19,AskLyft
20,UPSHelp
21,Delta
22,AppleSupport
23,Uber_Support
24,Tesco
25,SpotifyCares
26,British_Airways
27,comcastcares
28,AmericanAir
29,TMobileHelp
30,VirginTrains
31,SouthwestAir
32,AskeBay
33,hulu_support
34,GWRHelp
35,sainsburys
36,AskPayPal
37,HPSupport
38,ChaseSupport
39,CoxHelp
40,DropboxSupport
41,VirginAtlantic
42,BofA_Help
43,AzureSupport
44,AlaskaAir
45,ArgosHelpers
46,Postmates_Help
47,AskTarget
48,GoDaddyHelp
49,CenturyLinkHelp
50,AskPapaJohns
51,SW_Help
52,askpanera
53,Walmart
54,USCellularCares
55,AsurionCares
56,GloCare
57,idea_cares
58,DoorDash_Help
59,NeweggService
60,VirginAmerica
61,Safaricom_Care
62,DunkinDonuts
63,Ask_WellsFargo
64,O2
65,TfL
66,asksalesforce
67,airtel_care
68,Kimpton
69,AskCiti
70,IHGService
71,LondonMidland
72,JetBlue
73,BoostCare
74,JackBox
75,AldiUK
76,HiltonHelp
77,GooglePlayMusic
78,OfficeSupport
79,KFC_UKI_Help
80,DellCares
81,TwitterSupport
82,GreggsOfficial
83,ATT
84,TacoBellTeam
85,AskRBC
86,ArbysCares
87,NortonSupport
88,AskSeagate
89,sizehelpteam
90,SCsupport
91,MOO
92,AskDSC
93,AskVirginMoney
94,AskRobinhood
95,MTNC_Care
96,AWSSupport
97,VMUcare
98,mediatemplehelp
99,AskTigogh
100,PandoraSupport
101,askvisa
102,OPPOCareIN
103,ask_progressive
104,PearsonSupport
105,CarlsJr
106,HotelTonightCX
107,KeyBank_Help
